"","Age_group","total","proportion","percentage"
"1","0-11",325,0.00213492741246798,0.213492741246798
"2","12-17",10110,0.0664126650463115,6.64126650463115
"3","18-24",56425,0.370656243841556,37.0656243841556
"4","25-34",44506,0.292360244367076,29.2360244367076
"5","35-44",19451,0.127773763384353,12.7773763384353
"6","45-54",13137,0.0862970505156671,8.62970505156671
"7","55-64",3740,0.0245680877619392,2.45680877619392
"8","65-74",547,0.00359324706036918,0.359324706036918
"9","75+",162,0.0010641792025225,0.10641792025225
"10","Undefined",3827,0.0251395914077383,2.51395914077383
